text;created_at;source
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 21:02:57+00:00;Twitter for Android
🙏🏻🙏🏻 Bahia + Emicida ❤️ https://t.co/zTdLgnQ5Oy;2022-05-30 21:02:00+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 21:01:24+00:00;Twitter for iPhone
"É como diz o Emicida: 
“Nem todo mundo que 'tá é
Nem todo mundo que é 'tá”";2022-05-30 21:01:18+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 21:00:49+00:00;Twitter for Android
Vou ouvir milhares de vezes sei lá do emicida até abrir um buraco negro pra eu entrar em outra dimensão apenas isso https://t.co/upnKkhs21O;2022-05-30 21:00:38+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 21:00:23+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:59:53+00:00;Twitter Web App
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:57:44+00:00;Twitter for Android
@arthurmoledoval ENTÃO NÉ, QUEM É ANITA, DANIELA, EMICIDA, LUDIMILA, LUIZA, ESSE PESSOAL AI NAO REPRESENTA NADA PARA O POVO BRASILEIRO SAO SÓ VCANTORES MILIONARIOS MAIS NADA OK, TODOS ELES JA USARAM A LEI SE USOU DE FORMA CORRETA OK SE NAO VAI TE QUE VER COM A JUSTIÇA É SIMPLES ASSIM #DERRETEMBL;2022-05-30 20:57:42+00:00;Twitter Web App
RT @feIipemarques: priscilla libera o feat com o emicida seu nome tá nos trends;2022-05-30 20:57:27+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:57:03+00:00;Twitter for Android
"É Emicida no fim tô mês tá morrendo a grana &amp; a esperança";2022-05-30 20:55:53+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:54:58+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:54:50+00:00;Twitter for Android
Poderia ser Trellas de Bad Bunny, ou AmarElo do Emicida;2022-05-30 20:53:58+00:00;Twitter for Android
"E para o Brasil racista, o negro não é confiável, não é responsável, não gosta de trabalhar, erra quase sempre e não pensa, é pura força. 
Barbosa penou a vida toda. Hugo vai penar. 
Como diz Emicida:
A felicidade do branco é plena. 
A felicidade do negro é quase. 
#flamengo";2022-05-30 20:53:50+00:00;Twitter Web App
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:53:42+00:00;Twitter for Android
"RT @universa_uol: Moda para todos! 

Com tamanhos que vão do 36 ao 60, a @marcafala1 que já vestiu @Emicida, @LinndaQuebrada e @MariaRita,…";2022-05-30 20:53:38+00:00;Twitter for Android
"Esse lance de doação é difícil, sabemos. Mas quando as doações começam a chegar, elas se multiplicam. Surreal. Isso contagia a galera, e mais pessoas disponibilizam doações. Ainda bem! 

“Tudo o que nós tem é nós” — Emicida";2022-05-30 20:51:58+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:51:42+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:49:16+00:00;Twitter for Android
@AdrianoKeynes @pejulio @emicida @Haddad_Fernando Haddad não pelo amor de Deus, o cara foi prefeito de só e acabou com a cidade!;2022-05-30 20:49:13+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:48:36+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:47:02+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:46:50+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:44:52+00:00;Twitter for Android
Eu estava cheia de expectativas para o show de emicida. Sexta feira eu disse que só não ia pro show caso eu tivesse em UTI. E se estivesse nesse contexto, solicitava alta a revelia e ia. Hj, tô doente. Cancela tudo, viu @deus;2022-05-30 20:44:31+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:43:45+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:42:18+00:00;Twitter Web App
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:41:58+00:00;Twitter Web App
@mihagesilva Queria tanto ver os shows de Melly e Pondé mas é no mesmo dia do de emicida.;2022-05-30 20:40:19+00:00;Twitter for Android
RT @otavio22frr: priscilla essa é a hora EXATA de vc e emicida ensinar a amar;2022-05-30 20:40:10+00:00;Twitter Web App
"Quando o @emicida falou ""não existe tudo da ponte pra ca antes de tudo é uma escola"" com o @manobrown eu me arrepiei, pvt
O paoo desses dois é uma aula, bglh de ouvir na escola msm e em outros espaços tbm
Professores demais";2022-05-30 20:39:00+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:37:08+00:00;Twitter Web App
"RT @pedroconti: TAMO JUNTO - ASSISTA AGORA - WATCH NOW
https://t.co/GEDj6K9ShE

O Curta #TAMOJUNTO não seria possível sem o esforço de todo…";2022-05-30 20:37:01+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:33:14+00:00;Twitter for Android
@emicida Mataram socrates , mataram jesus , eu é que não vou cair nesses radicalismos;2022-05-30 20:32:55+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:32:38+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:32:05+00:00;Twitter for Android
@PriAlcantara vou te chamar de mediana até tu lançar o feat com o emicida!!! não aguento maissss;2022-05-30 20:31:49+00:00;Twitter for Android
Sábado depois de Emicida eu vou pra Pondé, nada pode me parar;2022-05-30 20:31:31+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:30:19+00:00;Twitter for Android
@PriAlcantara @prinaticorj Pri, não seja mediana e lance logo a música com o emicida ele tá pedindo aqui💁🏻‍♀️;2022-05-30 20:30:14+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:29:33+00:00;Twitter for Android
Vou vender uma meia de emicida;2022-05-30 20:29:17+00:00;Twitter for iPhone
Emicida - Canção para meus amigos mortos - Part. Paola (Audio);2022-05-30 20:28:39+00:00;Twitter Web App
@_gcosta Emicida em aju?;2022-05-30 20:28:01+00:00;Twitter Web App
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:27:36+00:00;Twitter Web App
@carvalhoismaels @emicida Sonhando com esse momento;2022-05-30 20:27:01+00:00;Twitter for Android
so sei por causa da musica de emicida kkkkkkk https://t.co/2cjRHJHxaz;2022-05-30 20:26:57+00:00;Twitter Web App
RT @feIipemarques: priscilla libera o feat com o emicida seu nome tá nos trends;2022-05-30 20:26:54+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:24:23+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:23:48+00:00;Twitter Web App
priscilla essa é a hora EXATA de vc e emicida ensinar a amar;2022-05-30 20:23:41+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:21:31+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:20:29+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:19:35+00:00;Twitter for Android
HMB com Emicida - Estrela Brilha (Ao Vivo no Rock In Rio) https://t.co/GOqhZR8BVd via @YouTube;2022-05-30 20:18:46+00:00;Twitter Web App
queria alguem p pagar p eu ir p show de emicida 😭😭😭😭😭😭😭;2022-05-30 20:18:38+00:00;Twitter for Android
RT @priscillacharts: Priscilla, aproveita o buzz e lança a música com o Emicida. 🤭;2022-05-30 20:17:11+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:14:29+00:00;Twitter for Android
5 dias pro show de Emicida 🙏;2022-05-30 20:14:14+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:14:13+00:00;Twitter Web App
RT @priscillacharts: Priscilla, aproveita o buzz e lança a música com o Emicida. 🤭;2022-05-30 20:13:51+00:00;Twitter for Android
Preciso achar algum rap diferente essa semana senão vou enjoar de criolo e emicida e isso não pode acontecer;2022-05-30 20:12:43+00:00;Twitter for iPhone
Emicida - Num é só ver - Part. Rael;2022-05-30 20:11:42+00:00;Twitter Web App
RT @feIipemarques: priscilla libera o feat com o emicida seu nome tá nos trends;2022-05-30 20:10:35+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:10:12+00:00;Twitter for Android
pensando seriamente em silenciar a palavra amarelo e o nome de emicida aqui pq não quero ficar triste novamente por n ter ingresso do show 🫠🥲;2022-05-30 20:09:45+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:09:03+00:00;Twitter for Android
RT @feIipemarques: priscilla libera o feat com o emicida seu nome tá nos trends;2022-05-30 20:08:58+00:00;Twitter for Android
Toda vez que o Emicida e o Rael se reúnem é uma obra prima;2022-05-30 20:07:58+00:00;Twitter Web App
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:07:27+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:06:36+00:00;Twitter for iPhone
Eu não vou me responsabilizar por nada quando o Emicida começar a cantar Amarelo vou até jogar fora meu rivotril;2022-05-30 20:04:54+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:04:17+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:03:40+00:00;Twitter for Android
o emicida flando sobre a história de São Paulo that’s so sexy of him;2022-05-30 20:03:06+00:00;Twitter for iPhone
Pra mim Levanta e anda do Emicida é uma das músicas mais especiais que eu já ouvi em toda a minha vida;2022-05-30 20:02:19+00:00;Twitter Web App
Priscilla, aproveita o buzz e lança a música com o Emicida. 🤭;2022-05-30 20:02:14+00:00;Twitter for Android
"RT @laharaaujo: Mais um show do Emicida pra conta e falo com tranquilidade: um dos maiores artistas desse país!

Escutem, apreciem e valori…";2022-05-30 20:01:48+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:01:34+00:00;Twitter Web App
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 20:01:23+00:00;Twitter for Android
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 19:59:47+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 19:59:34+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 19:57:41+00:00;Twitter for iPhone
@lucianamancio_ @emicida Estamos nessa contagem juntos!;2022-05-30 19:56:34+00:00;Twitter for iPhone
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 19:55:58+00:00;Twitter for Android
"@EmidRR Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, Daniela Mercury, Emicida, Ludmilla, Luiza Sonza e cia que tb já fizeram isso estão imunes a tais críticas. Esses podem.";2022-05-30 19:55:28+00:00;Twitter Web App
"RT @arthurmoledoval: Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, D…";2022-05-30 19:55:14+00:00;Twitter for Android
"@GugaNoblat Pode! Assim como Anitta, Ludmila, Emicida, Gilberto Gil, Caetano tb já fizeram shows para prefeituras.
Eles tb são mamateiros? E seu pai, aquele comunista (colunista) da Foice de SP vai desejar q morra como costuma fazer em seus artigos?";2022-05-30 19:54:07+00:00;Twitter for iPhone
"Mais um show do Emicida pra conta e falo com tranquilidade: um dos maiores artistas desse país!

Escutem, apreciem e valorizem esse homem 

É muito talento 🤍";2022-05-30 19:53:55+00:00;Twitter for iPhone
"@edomilsonpapo10 @SherlockMoro Esquerda criticando o Gusttavo Lima por show pago com dinheiro público.

Ok, crítica válida.

Mas lembre-se: Anitta, Daniela Mercury, Emicida, Ludmilla, Luiza Sonza e cia que tb já fizeram isso estão imunes a tais críticas. Esses podem.";2022-05-30 19:52:10+00:00;Twitter Web App
